"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986","Canada","2016A000011124","Total number of all personnel","Number","223","units ","0","v19457795","1.1","69698","","","","0"
"1986","Canada","2016A000011124","Total number of police officers","Number","223","units ","0","v19457793","1.2","51425","","","","0"
"1986","Canada","2016A000011124","Male police officers","Number","223","units ","0","v53509173","1.10","49431","","","","0"
"1986","Canada","2016A000011124","Female police officers","Number","223","units ","0","v53509174","1.11","1994","","","","0"
"1986","Canada","2016A000011124","Total number of civilian and other personnel","Number","223","units ","0","v19457794","1.3","18273","","","","0"
"1986","Canada","2016A000011124","Police-civilian ratio","Ratio","270","units ","0","v19457796","1.4","2.8","","","","1"
"1986","Canada","2016A000011124","Population per police officer","Rate","257","units ","0","v19457797","1.5","507.6","","","t","1"
"1986","Canada","2016A000011124","Police officers per 100,000 population","Rate","257","units ","0","v19457798","1.6","197.0","","","","1"
"1986","Canada","2016A000011124","Authorized police officer strength","Number","223","units ","0","v65783478","1.12","465813","","","","0"
"1986","Canada","2016A000011124","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783479","1.13","1784.6","","","","1"
"1986","Canada","2016A000011124","Criminal Code incidents per police officer","Rate","257","units ","0","v19457799","1.7","44.3","","","","1"
"1986","Canada","2016A000011124","Total expenditures on policing","Dollars","81","thousands","3","v21570899","1.8","3771205","","","t","0"
"1986","Canada","2016A000011124","Per capita cost","Dollars","81","units ","0","v21570915","1.9","144","","","t","0"
"1986","Canada","2016A000011124","Crime severity index","Index","160","units ","0","v65783480","1.14","","..","","","2"
"1986","Canada","2016A000011124","Weighted clearance rate","Rate","257","units ","0","v65783481","1.15","","..","","","2"
"1986","Newfoundland and Labrador","2016A000210","Total number of all personnel","Number","223","units ","0","v19457802","2.1","1107","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Total number of police officers","Number","223","units ","0","v19457800","2.2","879","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Male police officers","Number","223","units ","0","v53509189","2.10","840","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Female police officers","Number","223","units ","0","v53509190","2.11","39","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Total number of civilian and other personnel","Number","223","units ","0","v19457801","2.3","228","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Police-civilian ratio","Ratio","270","units ","0","v19457803","2.4","3.9","","","","1"
"1986","Newfoundland and Labrador","2016A000210","Population per police officer","Rate","257","units ","0","v19457804","2.5","655.9","","","t","1"
"1986","Newfoundland and Labrador","2016A000210","Police officers per 100,000 population","Rate","257","units ","0","v19457805","2.6","152.5","","","","1"
"1986","Newfoundland and Labrador","2016A000210","Authorized police officer strength","Number","223","units ","0","v65783490","2.12","1116","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783491","2.13","193.6","","","","1"
"1986","Newfoundland and Labrador","2016A000210","Criminal Code incidents per police officer","Rate","257","units ","0","v19457806","2.7","35.7","","","","1"
"1986","Newfoundland and Labrador","2016A000210","Total expenditures on policing","Dollars","81","thousands","3","v21570900","2.8","40347","","","t","0"
"1986","Newfoundland and Labrador","2016A000210","Per capita cost","Dollars","81","units ","0","v21570916","2.9","70","","","t","0"
"1986","Newfoundland and Labrador","2016A000210","Crime severity index","Index","160","units ","0","v65783492","2.14","","..","","","2"
"1986","Newfoundland and Labrador","2016A000210","Weighted clearance rate","Rate","257","units ","0","v65783493","2.15","","..","","","2"
"1986","Prince Edward Island","2016A000211","Total number of all personnel","Number","223","units ","0","v19457809","3.1","224","","","","0"
"1986","Prince Edward Island","2016A000211","Total number of police officers","Number","223","units ","0","v19457807","3.2","179","","","","0"
"1986","Prince Edward Island","2016A000211","Male police officers","Number","223","units ","0","v53509191","3.10","173","","","","0"
"1986","Prince Edward Island","2016A000211","Female police officers","Number","223","units ","0","v53509192","3.11","6","","","","0"
"1986","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units ","0","v19457808","3.3","45","","","","0"
"1986","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units ","0","v19457810","3.4","4.0","","","","1"
"1986","Prince Edward Island","2016A000211","Population per police officer","Rate","257","units ","0","v19457811","3.5","717.4","","","t","1"
"1986","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units ","0","v19457812","3.6","139.4","","","","1"
"1986","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units ","0","v65783502","3.12","24","","","","0"
"1986","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783503","3.13","18.7","","","","1"
"1986","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units ","0","v19457813","3.7","40.8","","","","1"
"1986","Prince Edward Island","2016A000211","Total expenditures on policing","Dollars","81","thousands","3","v21570901","3.8","6953","","","t","0"
"1986","Prince Edward Island","2016A000211","Per capita cost","Dollars","81","units ","0","v21570917","3.9","54","","","t","0"
"1986","Prince Edward Island","2016A000211","Crime severity index","Index","160","units ","0","v65783504","3.14","","..","","","2"
"1986","Prince Edward Island","2016A000211","Weighted clearance rate","Rate","257","units ","0","v65783505","3.15","","..","","","2"
"1986","Nova Scotia","2016A000212","Total number of all personnel","Number","223","units ","0","v19457816","4.1","1819","","","","0"
"1986","Nova Scotia","2016A000212","Total number of police officers","Number","223","units ","0","v19457814","4.2","1410","","","","0"
"1986","Nova Scotia","2016A000212","Male police officers","Number","223","units ","0","v53509193","4.10","1372","","","","0"
"1986","Nova Scotia","2016A000212","Female police officers","Number","223","units ","0","v53509194","4.11","38","","","","0"
"1986","Nova Scotia","2016A000212","Total number of civilian and other personnel","Number","223","units ","0","v19457815","4.3","409","","","","0"
"1986","Nova Scotia","2016A000212","Police-civilian ratio","Ratio","270","units ","0","v19457817","4.4","3.4","","","","1"
"1986","Nova Scotia","2016A000212","Population per police officer","Rate","257","units ","0","v19457818","4.5","630.7","","","t","1"
"1986","Nova Scotia","2016A000212","Police officers per 100,000 population","Rate","257","units ","0","v19457819","4.6","158.5","","","","1"
"1986","Nova Scotia","2016A000212","Authorized police officer strength","Number","223","units ","0","v65783514","4.12","350","","","","0"
"1986","Nova Scotia","2016A000212","Authorized police officer strength per 100,000 population","Rate","257","units ","0","v65783515","4.13","39.4","","","","1"
"1986","Nova Scotia","2016A000212","Criminal Code incidents per police officer","Rate","257","units ","0","v19457820","4.7","47.2","","","","1"
"1986","Nova Scotia","2016A000212","Total expenditures on policing","Dollars","81","thousands","3","v21570902","4.8","61306","","","t","0"
"1986","Nova Scotia","2016A000212","Per capita cost","Dollars","81","units ","0","v21570918","4.9","69","","","t","0"
"1986","Nova Scotia","2016A000212","Crime severity index","Index","160","units ","0","v65783516","4.14","","..","","","2"
"1986","Nova Scotia","2016A000212","Weighted clearance rate","Rate","257","units ","0","v65783517","4.15","","..","","","2"
"1986","New Brunswick","2016A000213","Total number of all personnel","Number","223","units ","0","v19457823","5.1","1547","","","","0"
"1986","New Brunswick","2016A000213","Total number of police officers","Number","223","units ","0","v19457821","5.2","1209","","","","0"
"1986","New Brunswick","2016A000213","Male police officers","Number","223","units ","0","v53509195","5.10","1172","","","","0"
"1986","New Brunswick","2016A000213","Female police officers","Number","223","units ","0","v53509196","5.11","37","","","","0"
"1986","New Brunswick","2016A000213","Total number of civilian and other personnel","Number","223","units ","0","v19457822","5.3","338","","","","0"
"1986","New Brunswick","2016A000213","Police-civilian ratio","Ratio","270","units ","0","v19457824","5.4","3.6","","","","1"
"1986","New Brunswick","2016A000213","Population per police officer","Rate","257","units ","0","v19457825","5.5","599.8","","","t","1"
"1986","New Brunswick","2016A000213","Police officers per 100,000 population","Rate","257","units ","0","v19457826","5.6","166.7","","","","1"
